"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Diagnostic codes for Preoperative Risk Factors","Preprocedural seizures,","10.20.18","R56.8","Other and unspecified convulsions",,"R56.8","Other and unspecified convulsions",,"Preoperative seizures","345.9",
"Diagnostic codes for Preoperative Risk Factors","Preprocedural cerebral abnormality on imaging,","10.20.13","R90.8","Other abnormal findings on diagnostic imaging of central nervous system",,"R90.8","Other abnormal findings on diagnostic imaging of central nervous system",,"Other preoperative risk factor","793",
"Diagnostic codes for Preoperative Risk Factors","Diabetes mellitus,","14.03.90","E14",,,,,,"Other preoperative risk factor","250.0",
"Diagnostic codes for Preoperative Risk Factors","Hypothyroidism,","14.03.52","E03.9","Hypothyroidism, unspecified",,"E03.9","Hypothyroidism, unspecified",,"Other preoperative risk factor","244.9",
"Diagnostic codes for Preoperative Risk Factors","Hyperthyroidism,","14.03.75","E05.9","Thyrotoxicosis, unspecified",,"E05.9","Thyrotoxicosis, unspecified",,"Other preoperative risk factor","242.9",
"Diagnostic codes for Preoperative Risk Factors","Smoking: tobacco use,","14.04.70","Z72.0","Tobacco use",,"Z72.0","Tobacco use, current",,"Other preoperative risk factor","V15.8",
"Codes for diagnostic procedures","Clinical evaluation of patient,","13.00.01",,,,,,,,,
"Codes for diagnostic procedures","Diagnostic investigation,","13.00.02",,,,,,,,,
"Codes for diagnostic procedures","Electrocardiogram (ECG),","13.00.10",,,,,,,,,
"Codes for diagnostic procedures","Ambulatory electrocardiography (ECG) recording,","13.00.17",,,,,,,,,
"Codes for diagnostic procedures","24 hour electrocardiogram (ECG) recording,","13.00.11",,,,,,,,,
"Codes for diagnostic procedures","Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) implantation,","13.00.14",,,,,,,,,
"Codes for diagnostic procedures","Insertable electrocardiogram (ECG) loop recorder (e.g. Reveal) removal,","13.00.15",,,,,,,,,
"Codes for diagnostic procedures","Arrhythmia provocation test,","13.00.50",,,,,,,,,
"Codes for diagnostic procedures","Tilt table testing,","13.00.27",,,,,,,,,
"Codes for diagnostic procedures","Exercise stress test,","13.00.13",,,,,,,,,
"Codes for diagnostic procedures","Cardiopulmonary exercise stress test,","13.00.16",,,,,,,,,
"Codes for diagnostic procedures","Ambulatory blood pressure monitoring,","13.00.36",,,,,,,,,
"Codes for diagnostic procedures","Chest x-ray,","13.00.21",,,,,,,,,
"Codes for diagnostic procedures","Echocardiographic examination,","13.01.00",,,,,,,,,
"Codes for diagnostic procedures","Transthoracic echocardiographic examination,","13.01.02",,,,,,,"Echocardiography procedure, Sedated transthoracic echocardiogram",,
"Codes for diagnostic procedures","Transoesophageal echocardiographic examination,","13.01.03",,,,,,,"Echocardiography procedure, Sedated transesophageal echocardiogram",,
"Codes for diagnostic procedures","Epicardial echocardiographic examination,","13.01.04",,,,,,,,,
"Codes for diagnostic procedures","Transluminal intracardiac echocardiographic examination,","13.01.24",,,,,,,,,
"Codes for diagnostic procedures","Intravascular ultrasound (IVUS) examination,","13.01.27",,,,,,,,,
"Codes for diagnostic procedures","Transluminal intracoronary echocardiography (IVUS),","12.23.41",,,,,,,,,
"Codes for diagnostic procedures","Computerised tomographic scan of chest,","13.00.23",,,,,,,"Radiology procedure on cardiac patient, Cardiac Computerized Axial Tomography (CT Scan)",,
"Codes for diagnostic procedures","Non-cardiac computed tomographic angiography on cardiac patient,","13.00.32",,,,,,,"Radiology procedure on cardiac patient, Non-Cardiac Computerized Tomography (CT) on cardiac patient",,
"Codes for diagnostic procedures","Cardiovascular Magnetic Resonance Imaging (CMRI),","13.00.24",,,,,,,"Radiology procedure on cardiac patient, Cardiac Magnetic Resonance Imaging (MRI)",,
"Codes for diagnostic procedures","Non-cardiovascular Magnetic Resonance Imaging on cardiac patient,","13.00.33",,,,,,,"Radiology procedure on cardiac patient, Non-cardiac Magnetic Resonance Imaging (MRI) on cardiac patient",,
"Codes for diagnostic procedures","Myocardial perfusion scan,","13.00.31",,,,,,,,,
"Codes for diagnostic procedures","Exploratory procedure to assess heart,","12.32.03",,,,,,,,,
"Codes for diagnostic procedures","Post mortem examination of heart-lungs,","13.00.71",,,,,,,,,
"Codes for diagnostic procedures","Pulmonary Function Tests,","13.00.25",,,,,,,,,
"Codes for diagnostic procedures","Diagnostic cardiovascular catheterisation procedure,","13.05.01",,,,,,,,,
"Codes for diagnostic procedures","Diagnostic radiographic procedure on cardiac patient,","13.00.34",,,,,,,"Radiology procedure on cardiac patient, Diagnostic radiology",,
"Codes for diagnostic procedures","Therapeutic radiological procedure on cardiac patient,","13.00.35",,,,,,,"Radiology procedure on cardiac patient, Therapeutic radiology",,
"Codes for diagnostic procedures","- with sedation,","Q5.85.30",,,,,,,,,
"Diagnostic qualifier codes","- status: post-procedure,","Q1.90.51",,,,,,,,,
"Diagnostic qualifier codes","- diagnosis uncertain,","Q1.90.67",,,,,,,,,
"Diagnostic qualifier codes","- status: post heart transplant,","Q1.91.80",,,,,,,"Status post transplant, Heart",,
"Diagnostic qualifier codes","- status: post heart & lung(s) transplant,","Q1.91.81",,,,,,,"Status post transplant, Heart and lung",,
"Diagnostic qualifier codes","- status: post lung(s) transplant,","Q1.91.82",,,,,,,"Status post transplant, Lung",,
"Codes for operations and interventions","Medical therapy for cardiovascular disease,","17.00.01",,,,,,,,,
"Codes for operations and interventions","Medical therapy for endocarditis,","17.10.02",,,,,,,,,
"Codes for operations and interventions","Cardiopulmonary bypass used during procedure,","12.00.90",,,,,,,,,
"Codes for operations and interventions","Cardiopulmonary bypass not used during procedure,","12.00.91",,,,,,,,,
"Codes for operations and interventions","Reoperation,","12.43.00",,,,,,,,,
"Codes for operations and interventions","Unplanned reoperation during current admission,","15.43.06",,,,,,,"Reoperation during this admission (unplanned reoperation)",,
"Codes for operations and interventions","Cardiopulmonary bypass for non-cardiac lesion,","12.00.92",,,,,,,"Bypass for non-cardiac lesion",,
"Codes for operations and interventions","Thoracoscopic approach (VATS),","12.40.06",,,,,,,"VATS (video assisted thoracoscopic surgery)",,
"Codes for operations and interventions","Minimally invasive procedure,","12.40.13",,,,,,,"Minimally invasive procedure",,
"Codes for operations and interventions","Robotic surgical approach,","12.40.15",,,,,,,"Minimally invasive procedure",,
"Codes for operations and interventions","Median sternotomy: redo x 1-3,","12.40.29",,,,,,,,,
"Codes for operations and interventions","Median sternotomy: redo x 4 or more,","12.40.30",,,,,,,,,
"Codes for operations and interventions","Thoracotomy,","12.40.00",,,,,,,"Thoracotomy, Other",,
"Codes for operations and interventions","Thoracotomy: redo,","12.40.16",,,,,,,"Thoracotomy, Other",,
"Codes for operations and interventions","Cardiac incision,","12.40.99",,,,,,,"Cardiotomy, Other",,
"Codes for operations and interventions","- transatrial approach,","Q5.08.11",,,,,,,,,
"Codes for operations and interventions","- trans-right ventricular approach,","Q5.08.13",,,,,,,,,
"Great vein procedures","Pulmonary vein procedure,","12.00.20",,,,,,,"Cardiac procedure, Other",,
"Great vein procedures","Totally anomalous pulmonary venous connection repair,","12.00.00",,,,,,,"TAPVC repair",,
"Great vein procedures","Partially anomalous pulmonary venous connection repair,","12.00.02",,,,,,,"PAPVC repair",,
"Great vein procedures","Scimitar syndrome (partially anomalous pulmonary venous connection) repair,","12.00.17",,,,,,,"PAPVC, Scimitar, Repair",,
"Great vein procedures","Partially anomalous pulmonary venous connection repair: baffle redirection to left atrium & systemic vein translocated to right atrial appendage (Warden),","12.00.78",,,,,,,"PAPVC repair, Baffle redirection to left atrium with systemic vein translocation (Warden) (SVC sewn to right atrial appendage)",,
"Great vein procedures","Pulmonary vein stenosis repair,","12.00.03",,,,,,,"Pulmonary venous stenosis repair",,
"Great vein procedures","Pulmonary venous pathway procedure (post Senning-Mustard),","12.29.52",,,,,,,"Cardiac procedure, Other",,
"Great vein procedures","Systemic vein procedure,","12.00.30",,,,,,,"Cardiac procedure, Other",,
"Great vein procedures","Superior caval vein (SVC) procedure,","12.00.39",,,,,,,"Cardiac procedure, Other",,
"Great vein procedures","Inferior caval vein (IVC) procedure,","12.00.42",,,,,,,"Cardiac procedure, Other",,
"Great vein procedures","Anomalous systemic venous connection repair,","12.00.81",,,,,,,"Anomalous systemic venous connection repair",,
"Great vein procedures","Systemic venous stenosis repair,","12.00.83",,,,,,,"Systemic venous stenosis repair",,
"Great vein procedures","Systemic venous pathway procedure (post Senning-Mustard),","12.00.29",,,,,,,"Cardiac procedure, Other",,
"Great vein procedures","Coronary sinus procedure,","12.00.50",,,,,,,"Cardiac procedure, Other",,
"Atrial Procedures","Right atrial procedure,","12.01.60",,,,,,,"Cardiac procedure, Other",,
"Atrial Procedures","Left atrial procedure,","12.01.30",,,,,,,"Cardiac procedure, Other",,
"Atrial Procedures","Cor triatriatum (divided left atrium) repair,","12.01.31",,,,,,,"Cor triatriatum repair",,
"Atrial Procedures","Patent foramen ovale (PFO) direct closure,","12.01.53",,,,,,,"PFO, primary closure",,
"Atrial Procedures","Interatrial communication closure,","12.01.00",,,,,,,"ASD repair",,
"Atrial Procedures","Atrial septal defect (ASD) secundum closure,","12.01.01",,,,,,,"ASD repair",,
"Atrial Procedures","Atrial septal defect (ASD) secundum closure with direct suture,","12.01.02",,,,,,,"ASD repair, Primary closure",,
"Atrial Procedures","Atrial septal defect (ASD) secundum closure with patch,","12.01.03",,,,,,,"ASD repair, Patch",,
"Atrial Procedures","Sinus venosus defect (ASD) closure,","12.01.10",,,,,,,"ASD repair",,
"Atrial Procedures","Interatrial communication closure: partial,","12.01.08",,,,,,,"ASD partial closure",,
"Atrial Procedures","Coronary sinus interatrial communication (ASD) repair,","12.00.55",,,,,,,"ASD repair",,
"Atrial Procedures","Atrial fenestration closure,","12.30.41",,,,,,,"Atrial fenestration closure",,
"Atrial Procedures","Interatrial communication creation-enlargement,","12.01.90",,,,,,,"ASD creation-enlargement",,
"Atrial Procedures","Atrial septectomy: closed (Blalock Hanlon),","12.01.42",,,,,,,"ASD creation-enlargement",,
"Atrial Procedures","Atrial septectomy,","12.01.43",,,,,,,"ASD creation-enlargement",,
"Atrial Procedures","Fenestration of atrial septum,","12.30.20",,,,,,,"Atrial septal fenestration",,
"Atrial Procedures","Atrial septation procedure,","12.01.22",,,,,,,"ASD, Common atrium (single atrium), Septation",,
"Atrial Procedures","Atrial baffle procedure,","12.01.57",,,,,,,"Atrial baffle procedure (non-Mustard, non-Senning)",,
"Atrial Procedures","Interatrial communication left open,","12.01.80",,,,,,,,,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular valvar repair,","12.90.01",,,,,,,"Cardiac procedure, Other",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar procedure,","12.02.00",,,,,,,"Valve surgery, Other, Tricuspid",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar annuloplasty,","12.02.04",,,,,,,"Valve surgery, Other, Tricuspid",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid leaflet (valvoplasty) procedure,","12.02.02",,,,,,,"Valvuloplasty, Tricuspid",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar replacement,","12.02.11",,,,,,,"Valve replacement, Tricuspid (TVR)",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valve repair converted to tricuspid valvar replacement,","12.02.83",,,,,,,"Valvuloplasty converted to valve replacement in the same operation, Tricuspid",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvar closure,","12.02.70",,,,,,,"Valve closure, Tricuspid (exclusion, univentricular approach)",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Tricuspid valvectomy,","12.02.22",,,,,,,"Valve excision, Tricuspid (without replacement)",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Ebstein's malformation of tricuspid valve repair,","12.02.09",,,,,,,"Ebstein's repair",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvar procedure,","12.03.00",,,,,,,"Valve surgery, Other, Mitral",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvar annuloplasty,","12.03.04",,,,,,,"Valve surgery, Other, Mitral",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral leaflet (valvoplasty) procedure,","12.03.03",,,,,,,"Valvuloplasty, Mitral",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvotomy,","12.03.01",,,,,,,"Valve surgery, Other, Mitral",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valvar replacement,","12.03.11",,,,,,,"Valve replacement, Mitral (MVR)",,
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Mitral valve repair converted to mitral valvar replacement,","12.03.84",,,,,,,"Valvuloplasty converted to valve replacement in the same operation, Mitral",,
