"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): left atrioventricular valvar procedure,","12.04.40",,,,,,"Valvuloplasty, Mitral",,,135,113
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): left atrioventricular valvar replacement,","12.04.45",,,,,,"Valve replacement, Mitral (MVR)",,,136,114
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Common atrioventricular valve repair converted to atrioventricular valvar replacement,","12.04.33",,,,,,"atrioventricular valve",,,137,115
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Common atrioventricular valve replacement,","12.04.18",,,,,,"Valve replacement, Common atrioventricular valve",,,138,116
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD): suturing together superior + inferior bridging leaflets to left ventricular side of septum ('cleft'),","12.48.02",,,,,,"Valvuloplasty, Mitral",,,139,117
"Atrioventricuolar valvar & atrioventricular septal defect procedures","Atrioventricular septal defect (AVSD) & Tetralogy of Fallot repair,","12.05.11",,,,,,"TOF- AVC (AVSD) repair",,,140,118
"Ventricular and ventricular septum procedures","Right ventricular procedure,","12.06.26",,,,,,"Cardiac procedure, Other",,,141,119
"Ventricular and ventricular septum procedures","Double chambered right ventricle repair,","12.06.35",,,,,,"DCRV repair",,,142,120
"Ventricular and ventricular septum procedures","Right ventricular aneurysm repair,","12.06.38",,,,,,"Aneurysm, Ventricular, Right, Repair",,,143,121
"Ventricular and ventricular septum procedures","Right ventricular outflow tract procedure,","12.06.00",,,,,,"RVOT procedure",,,144,122
"Ventricular and ventricular septum procedures","Right ventricular outflow tract obstruction relief,","12.06.41",,,,,,"RVOT procedure",,,145,123
"Ventricular and ventricular septum procedures","Subpulmonary obstruction relief,","12.08.21",,,,,,"RVOT procedure",,,146,124
"Ventricular and ventricular septum procedures","1.5 ventricle repair: superior cavopulmonary (Glenn) anastomosis + right ventricular outflow tract reconstruction,","12.06.19",,,,,,"1 1/2 ventricular repair",,,147,125
"Ventricular and ventricular septum procedures","Left ventricular procedure,","12.07.26",,,,,,"Cardiac procedure, Other",,,148,126
"Ventricular and ventricular septum procedures","Left ventricular aneurysm repair,","12.07.37",,,,,,"Aneurysm, Ventricular, Left, Repair",,,149,127
"Ventricular and ventricular septum procedures","Partial left ventriculectomy-volume reduction (Batista),","12.07.38",,,,,,"Partial left ventriculectomy (LV volume reduction) (Batista)",,,150,128
"Ventricular and ventricular septum procedures","Left ventricular outflow tract procedure,","12.07.00",,,,,,"Cardiac procedure, Other",,,151,129
"Ventricular and ventricular septum procedures","Left ventricular outflow tract obstruction relief,","12.07.13",,,,,,"Aortic stenosis, Subvalvar, Repair",,,152,130
"Ventricular and ventricular septum procedures","Left ventricular outflow tract myectomy-myotomy,","12.07.11",,,,,,"Aortic stenosis, Subvalvar, Repair",,,153,131
"Ventricular and ventricular septum procedures","Subaortic obstruction relief,","12.08.22",,,,,,"Aortic stenosis, Subvalvar, Repair",,,154,132
"Ventricular and ventricular septum procedures","Subaortic fibromuscular shelf resection,","12.07.01",,,,,,"Aortic stenosis, Subvalvar, Repair",,,155,133
"Ventricular and ventricular septum procedures","Left ventricular outflow tract obstruction relief: complex (Konno etc),","12.07.12",,,,,,"Konno procedure",,,156,134
"Ventricular and ventricular septum procedures","Ventricular septal defect (VSD) closure,","12.08.01",,,,,,"VSD repair",,,157,135
"Ventricular and ventricular septum procedures","Ventricular septal defect (VSD) closure by direct suture,","12.08.02",,,,,,"VSD repair, Primary closure",,,158,136
"Ventricular and ventricular septum procedures","Ventricular septal defect (VSD) closure using patch,","12.08.03",,,,,,"VSD repair, Patch",,,159,137
"Ventricular and ventricular septum procedures","Closure of multiple ventricular septal defect (VSD)s,","12.08.16",,,,,,"VSD multiple repair",,,160,138
"Ventricular and ventricular septum procedures","Ventricular septal defect (VSD) enlargement/ creation,","12.08.35",,,,,,"VSD creation / enlargement",,,161,139
"Ventricular and ventricular septum procedures","Ventricular septal defect (VSD) enlargement,","12.08.06",,,,,,"VSD creation / enlargement",,,162,140
"Ventricular and ventricular septum procedures","Open fenestration of ventricular septal defect (VSD) patch,","12.08.19",,,,,,"Ventricular septal fenestration",,,163,141
"Ventriculo-arterial valvar and great arterial procedures","Common arterial trunk (truncus) repair,","12.11.00",,,,,,"Truncus Arteriosus repair",,,164,142
"Ventriculo-arterial valvar and great arterial procedures","Truncal valve cusp(s) repair (valvoplasty),","12.11.34",,,,,,"Valvuloplasty, truncal valve",,,165,143
"Ventriculo-arterial valvar and great arterial procedures","Truncal valve replacement,","12.11.41",,,,,,"Valve replacement, Truncal valve",,,166,144
"Ventriculo-arterial valvar and great arterial procedures","Truncal valve repair converted to truncal valvar replacement,","12.11.43",,,,,,"Valvuloplasty converted to valve replacement in the same operation, Truncal valve",,,167,145
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valvar procedure,","12.13.00",,,,,,"Valve surgery, Other, Pulmonic",,,168,146
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valvotomy: open,","12.13.02",,,,,,"Valvuloplasty, Pulmonic",,,169,147
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valvectomy,","12.13.12",,,,,,"Valve excision, Pulmonary (without replacement)",,,170,148
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valve closure-oversewing,","12.13.15",,,,,,"Valve closure, Semilunar",,,171,149
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valvar replacement (not conduit),","12.13.21",,,,,,"Valve replacement, Pulmonic (PVR)",,,172,150
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valvar replacement using homograft,","12.13.22",,,,,,"Valve replacement, Pulmonic (PVR)",,,173,151
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary valve repair converted to pulmonary valvar replacement,","12.13.55",,,,,,"Valvuloplasty converted to valve replacement in the same operation, Pulmonic",,,174,152
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary trunk band (PA band),","12.14.02",,,,,,"PA banding (PAB)",,,175,153
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary trunk band removal (de-band),","12.14.03",,,,,,"PA debanding",,,176,154
"Ventriculo-arterial valvar and great arterial procedures","Application of right & left pulmonary arterial bands,","12.14.19",,,,,,"PA banding (PAB)",,,177,155
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary artery ligation,","12.14.31",,,,,,"Ligation, Pulmonary artery",,,178,156
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary trunk arterioplasty,","12.14.01",,,,,,"PA reconstruction (plasty), Main (trunk)",,,179,157
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary arterioplasty/ reconstruction,","12.14.20",,,,,,"PA reconstruction (Plasty)",,,180,158
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary arterioplasty/ reconstruction: central (proximal to hilar bifurcation),","12.14.21",,,,,,"PA reconstruction (plasty), Branch, Central (within the hilar bifurcation)",,,181,159
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary arterioplasty/ reconstruction: peripheral (at-beyond hilar bifurcation),","12.14.22",,,,,,"PA reconstruction (plasty), Branch, Peripheral (at or beyond the hilar bifurcation)",,,182,160
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary aneurysm repair,","12.15.24",,,,,,"Aneurysm, Pulmonary artery, Repair",,,183,161
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary arteriovenous fistula closure,","12.25.07",,,,,,"Pulmonary AV fistula repair / occlusion",,,184,162
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary thromboembolectomy,","12.15.48",,,,,,"Pulmonary embolectomy",,,185,163
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary thromboembolectomy for acute embolus,","12.15.80",,,,,,"Pulmonary embolectomy, Acute pulmonary embolus",,,186,164
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary thromboembolectomy for chronic (longstanding) embolus,","12.15.81",,,,,,"Pulmonary embolectomy, Chronic pulmonary embolus",,,187,165
"Ventriculo-arterial valvar and great arterial procedures","Procedure involving pulmonary artery,","12.15.11",,,,,,"Cardiac procedure, Other",,,188,166
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvar procedure,","12.16.00",,,,,,"Valve surgery, Other, Aortic",,,189,167
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvotomy: closed,","12.16.04",,,,,,"Valvuloplasty, Aortic",,,190,168
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvotomy: open,","12.16.02",,,,,,"Valvuloplasty, Aortic",,,191,169
"Ventriculo-arterial valvar and great arterial procedures","Aortic cusp(s) repair (valvoplasty),","12.16.11",,,,,,"Valvuloplasty, Aortic",,,192,170
"Ventriculo-arterial valvar and great arterial procedures","Aortic valve closure-oversewing,","12.16.61",,,,,,"Valve closure, Semilunar",,,193,171
"Ventriculo-arterial valvar and great arterial procedures","'Annuloplasty' of aortic valve,","12.16.14",,,,,,"Other annular enlargement procedure",,,194,172
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvar replacement,","12.16.21",,,,,,"Valve replacement, Aortic (AVR)",,,195,173
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvar replacement using homograft,","12.16.22",,,,,,"Valve replacement, Aortic (AVR), Homograft",,,196,174
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvar replacement using heterograft bioprosthesis,","12.16.28",,,,,,"Valve replacement, Aortic (AVR), Bioprosthetic",,,197,175
"Ventriculo-arterial valvar and great arterial procedures","Aortic valvar replacement using mechanical prosthesis,","12.16.29",,,,,,"Valve replacement, Aortic (AVR), Mechanical",,,198,176
"Ventriculo-arterial valvar and great arterial procedures","Aortic valve repair converted to aortic valvar replacement,","12.16.97",,,,,,"Valvuloplasty converted to valve replacement in the same operation, Aortic",,,199,177
"Ventriculo-arterial valvar and great arterial procedures","Aortic root replacement (not Ross),","12.16.50",,,,,,"Aortic root replacement",,,200,178
"Ventriculo-arterial valvar and great arterial procedures","Aortic root replacement using homograft,","12.16.63",,,,,,"Aortic root replacement, Homograft",,,201,179
"Ventriculo-arterial valvar and great arterial procedures","Aortic root replacement using mechanical prosthesis,","12.16.64",,,,,,"Aortic root replacement, Mechanical",,,202,180
"Ventriculo-arterial valvar and great arterial procedures","Aortic root replacement using bioprosthesis,","12.17.90",,,,,,"Aortic root replacement, Bioprosthetic",,,203,181
"Ventriculo-arterial valvar and great arterial procedures","Aortic root replacement: valve sparing technique,","12.17.91",,,,,,"Aortic root replacement, Valve sparing",,,204,182
"Ventriculo-arterial valvar and great arterial procedures","Aortic root replacement + coronary artery reimplantation (Bentall),","12.16.33",,,,,,"Aortic root replacement",,,205,183
"Ventriculo-arterial valvar and great arterial procedures","Ascending aorta replacement,","12.16.65",,,,,,"Aortic aneurysm repair",,,206,184
"Ventriculo-arterial valvar and great arterial procedures","Ascending aorta replacement & aortic valvar resuspension,","12.16.35",,,,,,"Aortic aneurysm repair",,,207,185
"Ventriculo-arterial valvar and great arterial procedures","Ross procedure: aortic valve or root replacement with pulmonary autograft & pulmonary valvar replacement,","12.16.30",,,,,,"Ross procedure",,,208,186
"Ventriculo-arterial valvar and great arterial procedures","Ross-Konno procedure,","12.16.62",,,,,,"Ross - Konno procedure",,,209,187
"Ventriculo-arterial valvar and great arterial procedures","Aortic sinus of Valsalva procedure,","12.16.80",,,,,,"Cardiac procedure, Other",,,210,188
"Ventriculo-arterial valvar and great arterial procedures","Aortic sinus of Valsalva distal fistula closure,","12.16.81",,,,,,"Sinus of Valsalva , Aneurysm repair",,,211,189
"Ventriculo-arterial valvar and great arterial procedures","Aortic sinus of Valsalva aneurysm repair,","12.16.85",,,,,,"Sinus of Valsalva , Aneurysm repair",,,212,190
"Ventriculo-arterial valvar and great arterial procedures","Aorto-left ventricular tunnel closure,","12.16.90",,,,,,"LV to aorta tunnel repair",,,213,191
"Ventriculo-arterial valvar and great arterial procedures","Aortopulmonary window closure,","12.12.01",,,,,,"AP window repair",,,214,192
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary artery origin from ascending aorta (hemitruncus) repair,","12.14.30",,,,,,"Pulmonary artery origin from ascending aorta (hemitruncus) repair",,,215,193
"Ventriculo-arterial valvar and great arterial procedures","Supravalvar aortic stenosis repair,","12.16.40",,,,,,"Aortic stenosis, Supravalvar, Repair",,,216,194
"Ventriculo-arterial valvar and great arterial procedures","Aorta aneurysm repair,","12.16.42",,,,,,"Aortic aneurysm repair",,,217,195
"Ventriculo-arterial valvar and great arterial procedures","Aortic arch aneurysm repair,","12.16.66",,,,,,"Aortic aneurysm repair",,,218,196
"Ventriculo-arterial valvar and great arterial procedures","Descending aorta aneurysm repair,","12.16.67",,,,,,"Aortic aneurysm repair",,,219,197
"Ventriculo-arterial valvar and great arterial procedures","Abdominal aorta aneurysm repair,","12.16.68",,,,,,"Aortic aneurysm repair",,,220,198
"Ventriculo-arterial valvar and great arterial procedures","Aortic dissection repair,","12.16.59",,,,,,"Aortic dissection repair",,,221,199
"Ventriculo-arterial valvar and great arterial procedures","Aortopexy,","12.17.31",,,,,,"Aortopexy",,,222,200
"Ventriculo-arterial valvar and great arterial procedures","Systemic arterial procedure,","12.22.00",,,,,,"Peripheral vascular procedure, Other",,,223,201
"Ventriculo-arterial valvar and great arterial procedures","Vascular ring procedure,","12.17.11",,,,,,"Vascular ring repair",,,224,202
"Ventriculo-arterial valvar and great arterial procedures","Pulmonary arterial sling repair,","12.17.32",,,,,,"Pulmonary artery sling repair",,,225,203
